name,country,region,rating,rating_count,price,source_sheet,vintage,producer_hint
Marina Cvetiƒá Montepulciano d'Abruzzo Riserva 2010,Italië,Montepulciano d’Abruzzo,4.1,1586,53.48921837184762,Uruguay,2010.0,Marina
Michele Chiarlo Barbera d'Asti Le Orme 2017,Italië,Barbera d’Asti,3.7,1578,17.43999810176882,Uruguay,2017.0,Michele
Volpaia Chianti Classico 2018,Italië,Chianti Classico,3.8,1536,23.688082421818233,Uruguay,2018.0,Volpaia
Fontanafredda Barbera d'Alba 2017,Italië,Barbera d’Alba,3.6,1523,27.50874087695021,Uruguay,2017.0,Fontanafredda
San Marzano F Negroamaro 2019,Italië,Salento,4.3,1430,48.395007098338326,Uruguay,2019.0,San
Gaja Sito Moresco Langhe 2018,Italië,Langhe,4.2,1426,43.04608526115357,Uruguay,2018.0,Gaja
Speri Valpolicella Ripasso Classico Superiore 2017,Italië,Valpolicella Ripasso Classico,3.8,1135,32.093531023108575,Uruguay,2017.0,Speri
Farnese Fantini Gran Cuv√©e Ros√© N.V.,Italië,Aglianico del Vulture,3.8,1069,20.37684509403719,Uruguay,,Farnese
Speri Valpolicella Classico 2018,Italië,Valpolicella Classico,3.6,1066,19.86742396668626,Uruguay,2018.0,Speri
Gaja Ca'Marcanda Vistamare Toscana 2018,Italië,Toscane,4.1,1051,77.17730079366585,Uruguay,2018.0,Gaja
San Marzano Il Pumo Sauvignon - Malvasia 2017,Italië,Salento,3.7,1049,13.754370438475105,Uruguay,2017.0,San
Fontanafredda Langhe Nebbiolo 2017,Italië,Langhe,3.6,1045,36.678321169266944,Uruguay,2017.0,Fontanafredda
Cantina Diomede Lama di Pietra Nero di Troia 2020,Italië,Puglia,4.1,998,13.499659874799638,Uruguay,2020.0,Cantina
Gaja Ca'Marcanda Magari 2018,Italië,Bolgheri,4.3,974,68.77185219237552,Uruguay,2018.0,Gaja
Farnese Fantini Gran Cuv√©e Bianco N.V.,Italië,Abruzzo,3.8,951,20.37684509403719,Uruguay,,Farnese
Farnese Edizione Cinque Autoctoni N.V.,Italië,Abruzzo,4.3,63460,64.99,Uruguay,,Farnese
Villa Degli Olmi Corte dei Rovi Prosecco N.V.,Italië,Prosecco,4.3,12320,29.99,Uruguay,,Villa
Ornellaia Le Volte 2016,Italië,Toscane,3.9,8886,71.49,Uruguay,2016.0,Ornellaia
Antinori Tignanello 2018,Italië,Toscane,4.7,7145,506.25,Uruguay,2018.0,Antinori
Santa Cristina Toscana 2019,Italië,Toscane,3.7,6693,21.95,Uruguay,2019.0,Santa
Tenuta San Guido Guidalberto 2018,Italië,Toscane,4.2,5256,110.0,Uruguay,2018.0,Tenuta
Produttori del Barbaresco Barbaresco 2015,Italië,Barbaresco,4.1,5216,119.25,Uruguay,2015.0,Produttori
Antinori P√®ppoli Chianti Classico 2019,Italië,Chianti Classico,3.9,4974,36.95,Uruguay,2019.0,Antinori
Zenato Ripassa Valpolicella Ripasso Superiore 2018,Italië,Valpolicella Ripasso,4.2,4667,62.0,Uruguay,2018.0,Zenato
Allegrini Palazzo della Torre 2017,Italië,Verona,4.1,4419,61.95,Uruguay,2017.0,Allegrini
Ornellaia Le Serre Nuove 2018,Italië,Bolgheri,4.4,4383,163.68,Uruguay,2018.0,Ornellaia
Castello Nipozzano Chianti R√πfina Riserva 2018,Italië,Chianti Rùfina,4.0,4185,36.99,Uruguay,2018.0,Castello
Ornellaia Le Serre Nuove 2019,Italië,Bolgheri,4.4,3888,163.68,Uruguay,2019.0,Ornellaia
Tenuta Il Poggione Brunello di Montalcino 2015,Italië,Brunello di Montalcino,4.3,3637,127.0,Uruguay,2015.0,Tenuta
Ornellaia Le Volte 2020,Italië,Toscane,4.1,3605,65.0,Uruguay,2020.0,Ornellaia
